dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,encoding.stopped,slider.response,slider.rt,image.stopped,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004223800002364442,0.011412599997129291,0.011412599997129291,17.416258999990532,1,[17.411142300028587],[17.411149100022158],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.416327999992063,17.431629099999554,17.431629099999554,30.49769849999575,1,[13.080308200005675],[13.080314799997723],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
1r,"I might be willing to try eating monkey meat, under some circumstances",,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,30.552376099978574,,,,,,,,,,,,,,,,30.503258199983975,30.552376099978574,30.552376099978574,30.552376099978574,30.62578579998808,2.0,0.10166960000060499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
2,"It would bother me to be in a science class, and to see a human hand preserved in a jar",,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,30.65005399999791,,,,,,,,,,,,,,,,30.626103299990064,30.65005399999791,30.65005399999791,30.65005399999791,39.26422069998807,0.0,8.613847900007386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
3,It bothers me to hear someone clear a throat full of mucous,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,39.28486799998791,,,,,,,,,,,,,,,,39.26443599999766,39.28486799998791,39.28486799998791,39.28486799998791,50.89624159998493,3.0,11.610084000014467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
4,I never let any part of my body touch the toilet seat in public restrooms. ,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,50.92074239999056,,,,,,,,,,,,,,,,50.89648809999926,50.92074239999056,50.92074239999056,50.92074239999056,57.99530609999783,4.0,7.075867700012168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
5,I would go out of my way to avoid walking through a graveyard. ,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,58.0178617000056,,,,,,,,,,,,,,,,57.995545699988725,58.0178617000056,58.0178617000056,58.0178617000056,62.47811669998919,0.0,4.459319899993716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
6r,Seeing a cockroach in someone else's house doesn't bother me. ,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,62.50055299999076,,,,,,,,,,,,,,,,62.478353099984815,62.50055299999076,62.50055299999076,62.50055299999076,66.62754049999057,4.0,4.125479599984828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
7,It would bother me tremendously to touch a dead body. ,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,66.64856030000374,,,,,,,,,,,,,,,,66.62777799999458,66.64856030000374,66.64856030000374,66.64856030000374,74.64316539998981,0.0,7.993397099984577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
8,"If I see someone vomit, it makes me sick to my stomach. ",,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,74.66427779998048,,,,,,,,,,,,,,,,74.64340129998163,74.66427779998048,74.66427779998048,74.66427779998048,79.21006829998805,0.0,4.54388569999719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
9,I probably would not go to my favorite restaurant if I found out that the cook had a cold. ,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,79.23557989997789,,,,,,,,,,,,,,,,79.21038479998242,79.23557989997789,79.23557989997789,79.23557989997789,91.67443399998592,4.0,12.437714100000449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
10r,"It would not upset me at all to watch a person with a glass eye take the eye 
out of the socket.  ",,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,91.69725659998949,,,,,,,,,,,,,,,,91.67466970000532,91.69725659998949,91.69725659998949,91.69725659998949,115.75468990000081,4.0,24.056129300006432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
11,It would bother me to see a rat run across my path in a park. ,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,115.77611119998619,,,,,,,,,,,,,,,,115.75493140000617,115.77611119998619,115.77611119998619,115.77611119998619,128.7196527000051,0.0,12.942319699999643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
12d,I would rather eat a piece of fruit than a piece of paper ,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,128.740655600006,,,,,,,,,,,,,,,,128.7198927999998,128.740655600006,128.740655600006,128.740655600006,132.08597099999315,4.0,3.3438252999912947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
13,"Even if I was hungry, I would not drink a bowl of my favorite soup if it had been
stirred by a used but thoroughly washed flyswatter. ",,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,132.10991229998763,,,,,,,,,,,,,,,,132.08621049998328,132.10991229998763,132.10991229998763,132.10991229998763,148.06713239999954,4.0,15.955729100009194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
14,"It would bother me to sleep in a nice hotel room if I knew that a man had died of a
heart attack in that room the night before. ",,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,148.08979080000427,,,,,,,,,,,,,,,,148.0673950999917,148.08979080000427,148.08979080000427,148.08979080000427,154.14955299999565,0.0,6.059572899976047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
,,15,You see maggots on a piece of meat in an outdoor garbage pail. ,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,154.1776590999798,,,,,,,,,,,,,,,,,,,,,,,154.15433059999486,154.1776590999798,154.1776590999798,154.1776590999798,161.46700939998846,0.0,7.289263700018637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
,,16d,You see a person eating an apple with a knife and fork,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,161.48891479999293,,,,,,,,,,,,,,,,,,,,,,,161.46732399999746,161.48891479999293,161.48891479999293,161.48891479999293,168.88637999998173,0.0,7.396894500008784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
,,17,"While you are walking through a tunnel under a railroad track, you smell urine. ",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,169.00904720000108,,,,,,,,,,,,,,,,,,,,,,,168.8866463000013,169.00904720000108,169.00904720000108,169.00904720000108,174.2977711999847,0.0,5.28733029999421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
,,18,"You take a sip of soda, and then realize that you drank from the glass that an
 		acquaintance of yours had been drinking from",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,174.32270049999352,,,,,,,,,,,,,,,,,,,,,,,174.29801850000513,174.32270049999352,174.32270049999352,174.32270049999352,185.06229030000395,0.0,10.73936620002496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
,,19,"Your friend's pet cat dies, and you have to pick up the dead body with your bare hands.  ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,185.08548879998852,,,,,,,,,,,,,,,,,,,,,,,185.06258779999916,185.08548879998852,185.08548879998852,185.08548879998852,191.62796329997946,0.0,6.541967299999669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
,,20,"You see someone put ketchup on vanilla ice cream, and eat it. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,191.65394489999744,,,,,,,,,,,,,,,,,,,,,,,191.62825680000242,191.65394489999744,191.65394489999744,191.65394489999744,194.42808489999152,4.0,2.776050199987367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
,,21,You see a man with his intestines exposed after an accident. ,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,194.4498479999893,,,,,,,,,,,,,,,,,,,,,,,194.42833480000263,194.4498479999893,194.4498479999893,194.4498479999893,198.64400649999152,0.0,4.193784300005063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
,,22,You discover that a friend of yours changes underwear only once a week. ,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,198.66669980000006,,,,,,,,,,,,,,,,,,,,,,,198.64425690000644,198.66669980000006,198.66669980000006,198.66669980000006,204.54312879999634,4.0,5.875985900027445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
,,23,A friend offers you a piece of chocolate shaped like dog doo. ,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,204.56545989998267,,,,,,,,,,,,,,,,,,,,,,,204.54337020000094,204.56545989998267,204.56545989998267,204.56545989998267,209.35930379998172,0.0,4.792513399996096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST,001,2024-11-22_16h56.13.304,Disgust Thang,2024.1.5,None,2024-11-22 16h56.48.007649 +0530,
