dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,encoding.stopped,slider.response,slider.rt,image.stopped,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,text_5.stopped,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,I probably would not go to my favorite restaurant if I found out that the cook had a cold. ,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,114.3883124999993,,,,,,,,,,,,,,,,114.36475670000073,114.3883124999993,114.3883124999993,114.3883124999993,124.96152179999626,4.0,10.572734399989713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
10r,"It would not upset me at all to watch a person with a glass eye take the eye 
out of the socket.  ",,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,124.98703950000345,,,,,,,,,,,,,,,,124.96176720000221,124.98703950000345,124.98703950000345,124.98703950000345,143.12474970001495,2.0,18.137391199998092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
11,It would bother me to see a rat run across my path in a park. ,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,143.14827599999262,,,,,,,,,,,,,,,,143.1250030999945,143.14827599999262,143.14827599999262,143.14827599999262,152.15642529999604,2.0,9.008654899982503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
12d,I would rather eat a piece of fruit than a piece of paper ,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,152.18003330001375,,,,,,,,,,,,,,,,152.15665419999277,152.18003330001375,152.18003330001375,152.18003330001375,157.9907531000208,4.0,5.810784799978137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
13,"Even if I was hungry, I would not drink a bowl of my favorite soup if it had been
stirred by a used but thoroughly washed flyswatter. ",,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,158.01743959999294,,,,,,,,,,,,,,,,157.99101410000003,158.01743959999294,158.01743959999294,158.01743959999294,172.77088990001357,4.0,14.753360400005477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
14,"It would bother me to sleep in a nice hotel room if I knew that a man had died of a
heart attack in that room the night before. ",,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,172.79570290000993,,,,,,,,,,,,,,,,172.7711651000136,172.79570290000993,172.79570290000993,172.79570290000993,184.10224639999797,4.0,11.30743660000735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,15,You see maggots on a piece of meat in an outdoor garbage pail. ,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,184.1342469000083,,,,,,,,,,,,,,,,,,,,,,,184.10714979999466,184.1342469000083,184.1342469000083,184.1342469000083,205.30558949999977,4.0,21.17527949999203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,16d,You see a person eating an apple with a knife and fork,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,205.32939880000777,,,,,,,,,,,,,,,,,,,,,,,205.30591399999685,205.32939880000777,205.32939880000777,205.32939880000777,218.89803199999733,0.0,13.56922800000757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,17,"While you are walking through a tunnel under a railroad track, you smell urine. ",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,218.92363210002077,,,,,,,,,,,,,,,,,,,,,,,218.89828940000734,218.92363210002077,218.92363210002077,218.92363210002077,225.99898390000453,4.0,7.075555799994618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,18,"You take a sip of soda, and then realize that you drank from the glass that an
 		acquaintance of yours had been drinking from",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,226.02765160001582,,,,,,,,,,,,,,,,,,,,,,,225.99926460001734,226.02765160001582,226.02765160001582,226.02765160001582,241.42829060001532,2.0,15.401759800006403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,19,"Your friend's pet cat dies, and you have to pick up the dead body with your bare hands.  ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,241.45211119999294,,,,,,,,,,,,,,,,,,,,,,,241.4285346000106,241.45211119999294,241.45211119999294,241.45211119999294,248.629555099993,4.0,7.177394900005311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,20,"You see someone put ketchup on vanilla ice cream, and eat it. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,248.6533524999977,,,,,,,,,,,,,,,,,,,,,,,248.62981119999313,248.6533524999977,248.6533524999977,248.6533524999977,256.0930439000076,4.0,7.4406073999998625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,21,You see a man with his intestines exposed after an accident. ,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,256.11598740000045,,,,,,,,,,,,,,,,,,,,,,,256.09327300000587,256.11598740000045,256.11598740000045,256.11598740000045,261.47627980000107,4.0,5.3604015999881085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,22,You discover that a friend of yours changes underwear only once a week. ,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,261.49973440001486,,,,,,,,,,,,,,,,,,,,,,,261.47652460000245,261.49973440001486,261.49973440001486,261.49973440001486,271.63737919999403,4.0,10.138310300011653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,23,A friend offers you a piece of chocolate shaped like dog doo. ,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,271.6620821999968,,,,,,,,,,,,,,,,,,,,,,,271.6376259000099,271.6620821999968,271.6620821999968,271.6620821999968,278.55751959999907,2.0,6.8958502000023145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,24,You accidentally touch the ashes of a person who has been cremated. ,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,278.58126450001146,,,,,,,,,,,,,,,,,,,,,,,278.5577702000155,278.58126450001146,278.58126450001146,278.58126450001146,284.17289449999225,3.0,5.593179799994687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,25,You are about to drink a glass of milk when you smell that it is spoiled. ,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,284.19644820000394,,,,,,,,,,,,,,,,,,,,,,,284.173145800014,284.19644820000394,284.19644820000394,284.19644820000394,290.8943134000001,4.0,6.697995599999558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,26,"As part of a sex education class, you are required to inflate a new unlubricated
		condom, using your mouth. ",,,,,,,,,,0,11,11,11,,,,,,,,,,,,,290.91870060001384,,,,,,,,,,,,,,,,,,,,,,,290.89455520000774,290.91870060001384,290.91870060001384,290.91870060001384,297.171477099997,4.0,6.253271599998698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,27,"You are walking barefoot on concrete, and you step on an earthworm. ",,,,,,,,,,0,12,12,12,,,,,,,,,,,,,297.1946678000095,,,,,,,,,,,,,,,,,,,,,,,297.1717529000016,297.1946678000095,297.1946678000095,297.1946678000095,305.5874601000105,4.0,8.393150799995055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,15-7,8,,,,,,,,,,,,0,0,0,0,,,,,,,,,305.6071821000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.59225310001057,305.6071821000078,305.6071821000078,305.6071821000078,313.6174747000041,15-7,1,[8.019894800003385],[8.019902200001525],,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,5*7,35,,,,,,,,,,,,0,1,1,1,,,,,,,,,313.63275160000194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.6180163999961,313.63275160000194,313.63275160000194,313.63275160000194,319.56656010000734,35,1,[5.9443077000032645],[5.944315900007496],,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,42/7,6,,,,,,,,,,,,0,2,2,2,,,,,,,,,319.58203890000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.5669612000056,319.58203890000004,319.58203890000004,319.58203890000004,324.06604810000863,6,1,[4.49362939997809],[4.4936380999861285],,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,51-17,34,,,,,,,,,,,,0,3,3,3,,,,,,,,,324.0815419999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.06648169999244,324.0815419999999,324.0815419999999,324.0815419999999,349.91285900000366,"34
",1,[25.84363749998738],[25.843645799992373],,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,19*8,152,,,,,,,,,,,,0,4,4,4,,,,,,,,,349.9279957000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.9132832000032,349.9279957000108,349.9279957000108,349.9279957000108,359.4451518999995,152,1,[9.526685899996664],[9.526696599990828],,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,6* (25+3),168,,,,,,,,,,,,0,5,5,5,,,,,,,,,359.46250240001245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.4455484999926,359.46250240001245,359.46250240001245,359.46250240001245,372.5264309000049,168,1,[13.074482800002443],[13.074490800005151],,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,images/1253_hygiene.png,,,,,,,,,,,,,,,0,0,0,8,,,,,372.5973190999939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.53129020001506,372.5973190999939,373.55773590001627,373.6091178000206,380.54405060000136,383.39694010000676,1,10.786706699989736,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,images/1182_injuries_infections.png,,,,,,,,,,,,,,,0,1,1,5,,,,,383.42831529999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.3973476999963,383.42831529999967,384.4082173999923,384.441023899999,391.4062715000182,396.5015979000018,1,13.063038200023584,394.4222853000101,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,images/1034_food.png,,,,,,,,,,,,,,,0,2,2,1,,,,,396.5299375000177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.5018629000115,396.5299375000177,397.50678190001054,397.53934310001205,404.5050421000051,406.50529960001586,1,9.965933100000257,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,images/1201_death.png,,,,,,,,,,,,,,,0,3,3,6,,,,,406.54348740002024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.50556200000574,406.54348740002024,407.52233700000215,407.55475360000855,414.51968349999515,415.59572159999516,1,9.041021399985766,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,images/1171_injuries_infections.png,,,,,,,,,,,,,,,0,4,4,4,,,,,415.62778219999745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.5960014000011,415.62778219999745,416.6044041000132,416.63659549999284,423.60291780001717,425.3556044000143,1,9.71839419999742,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,images/1110_body products.png,,,,,,,,,,,,,,,0,5,5,2,,,,,425.3866147999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.3558475000027,425.3866147999943,426.36957410001196,426.38562909999746,433.36860600000364,434.48926870001014,1.8444444444444446,9.093884000001708,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,images/1118_body products.png,,,,,,,,,,,,,,,0,6,6,3,,,,,434.51725590002025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.4895141000161,434.51725590002025,435.5023082999978,435.5179587000166,442.4997341000126,444.5372331000108,1,10.010430099995574,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,images/1218_death.png,,,,,,,,,,,,,,,0,7,7,7,,,,,444.56644670001697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.5374853000103,444.56644670001697,445.55060210000374,445.56651950001833,452.54833799999324,453.8014420999971,1.0037037037037038,9.225655199988978,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
