dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,encoding.stopped,slider.response,slider.rt,image.stopped,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,text_5.stopped,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,images/1033_food.png,,,,,,,,,,,,,,,0,8,8,0,,,,,453.82986870000605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.8017061999999,453.82986870000605,454.81631510000443,454.8317855000205,461.8139532000059,463.71751030001906,1.0296296296296297,9.8779130000039,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.71766399999615,463.73057700000936,463.73057700000936,471.74772360001225,1,[8.028955499990843],[8.028963699995074],,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,1R,The government should pass a Constitutional amendment that would make it illegal to discriminate against anyone in any situation based on sexual orientation.,,,,,,,,,,,,,,,,,0,0,0,0,471.79015210000216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.7555253000173,471.79015210000216,471.79015210000216,471.9786615000048,3.0,0.19431900000199676,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,2R,"The national government should establish a centrally funded medical program so that all persons, regardless of means, have access to medical care.",,,,,,,,,,,,,,,,,0,1,1,1,472.00437290000264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.9790231999941,472.00437290000264,472.00437290000264,480.64912610000465,5.0,8.644907500012778,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,3,It should be legal and constitutional to say a prayer at the beginning of assemblies in public schools.,,,,,,,,,,,,,,,,,0,2,2,2,480.6736324999947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.6493803000194,480.6736324999947,480.6736324999947,493.9630013999995,2.0,13.288976199983153,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,4R,Persons should be allowed to join and serve in the military regardless of their sexual preference as long as their behavior meets strict military standards.,,,,,,,,,,,,,,,,,0,3,3,3,493.98928830001387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.96329080002033,493.98928830001387,493.98928830001387,503.34602409999934,1.0,9.356822800007649,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,5R,A person should be able to use and grow small quantities of marijuana in the privacy of his or her own home with no legal consequences.,,,,,,,,,,,,,,,,,0,4,4,4,503.37448150001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.3462819000124,503.37448150001,503.37448150001,512.2953559000161,3.0,8.924717299989425,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,6,"Persons receiving the death penalty should be limited in their number of appeals, and the death sentence should be carried out in a shorter time period than it is now.",,,,,,,,,,,,,,,,,0,5,5,5,512.3218454000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.2956049999921,512.3218454000016,512.3218454000016,523.4299464999931,2.0,11.108072999981232,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,7,The government should reverse its decision on abortion and make it more challenging to have an abortion except in special cases such as rape and incest. ,,,,,,,,,,,,,,,,,0,6,6,6,523.4566878000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.4302295999951,523.4566878000041,523.4566878000041,547.4940425000095,3.0,24.037971899990225,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,8,India should require one year of military service for all able-bodied people.,,,,,,,,,,,,,,,,,0,7,7,7,547.5193670000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.4943390999979,547.5193670000008,547.5193670000008,553.6884129999962,3.0,6.169995600008406,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,9,"Parents should be able to send their children to any school they choose, and tax money should be used to support the schools that parents choose.",,,,,,,,,,,,,,,,,0,8,8,8,553.7141370000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.6887101000175,553.7141370000027,553.7141370000027,574.4522238000063,1.0,20.73900119998143,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,10,Police should be able to confiscate any materials that are deemed to be obscene or pornographic. ,,,,,,,,,,,,,,,,,0,9,9,9,574.4776320999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.4524788999988,574.4776320999954,574.4776320999954,588.5178113000002,3.0,14.040973800001666,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,11,The central government should be required to have a balanced budget that does not spend more than the money that comes in from taxes,,,,,,,,,,,,,,,,,0,10,10,10,588.5427170000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.518067500001,588.5427170000039,588.5427170000039,599.1876291999943,1.0,10.644039799983148,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,12R, Laws that limit the sale of fireworks and other explosive materials that are not intended for legitimate cultural or religious purposes should be passed.,,,,,,,,,,,,,,,,,0,11,11,11,599.2173030000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.1879001000198,599.2173030000122,599.2173030000122,609.4981580000021,2.0,10.281664599984651,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,13R,Sex education should be in taught all public schools and all students should be required to take the class unless exempted by parents. ,,,,,,,,,,,,,,,,,0,12,12,12,609.5235592999961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.49841130001,609.5235592999961,609.5235592999961,622.0791803000029,1.0,12.556079000001773,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,14,Reservation system should be abolished in India. ,,,,,,,,,,,,,,,,,0,13,13,13,622.105521599995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.0794523000077,622.105521599995,622.105521599995,626.6787393999984,1.0,4.574262600013753,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,15,"The Prime Minister, without permission from the President, should be able to use the armed forces and call for an emergency in possible combat areas for as long as he/she deems necessary. ",,,,,,,,,,,,,,,,,0,14,14,14,626.7080873000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.6789987999946,626.7080873000086,626.7080873000086,642.4783193000185,2.0,15.770485300017754,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,16R,"Laws should be passed to make it legal for public employees such as police, firemen, teachers, and garbage collectors to go on strike. ",,,,,,,,,,,,,,,,,0,15,15,15,642.5043579000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.4785869000189,642.5043579000048,642.5043579000048,652.8755126000033,3.0,10.372350699995877,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,17,Public schools should be required to teach the world's creation as written in the Bhagavad Gita in all classes that teach evolution theory.,,,,,,,,,,,,,,,,,0,16,16,16,652.9039136999927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.8757624000136,652.9039136999927,652.9039136999927,667.2644245999982,5.0,14.360436799994204,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,18,"The government should mandate family planning counseling and reversible sterilization for low-income, unmarried women with three or more children. ",,,,,,,,,,,,,,,,,0,17,17,17,667.29142340002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.2646951000206,667.29142340002,667.29142340002,684.537807500019,2.0,17.247436400008155,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,19R,"Birth control information, non-prescription contraceptive devices, and the morning-after pill should be made available on college campuses.",,,,,,,,,,,,,,,,,0,18,18,18,684.5637537000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.5380564999941,684.5637537000002,684.5637537000002,696.8450628000137,4.0,12.278040700010024,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,20,"Evidence gathered by the police, even if an honest mistake was made in getting a warrant, should be used to help prosecute suspected criminals. ",,,,,,,,,,,,,,,,,0,19,19,19,696.8710793000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.8453211000015,696.8710793000064,696.8710793000064,712.2865979000053,3.0,15.41523120002239,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,21,Inter-religious marriages should be abolished.,,,,,,,,,,,,,,,,,0,20,20,20,712.310221199994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.286849199998,712.310221199994,712.310221199994,716.651082299999,5.0,4.341043000022182,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,22R,"Requirements for any military duty, including combat, should be based on physical, emotional, and intellectual abilities, not gender or sexual orientation.",,,,,,,,,,,,,,,,,0,21,21,21,716.6764453999931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.6513575999998,716.6764453999931,716.6764453999931,734.4001993999991,1.0,17.72222789999796,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,23R,The law should make private employers hire minorities if they are qualified because they have been victims of discrimination in the past. ,,,,,,,,,,,,,,,,,0,22,22,22,734.4261869000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.4004649000126,734.4261869000038,734.4261869000038,744.7670993000211,1.0,10.340885599987814,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,24,Certain literature should be banned from city libraries if the librarian feels it is improper or too controversial.,,,,,,,,,,,,,,,,,0,23,23,23,744.792540399998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.7673553000204,744.792540399998,744.792540399998,754.8236596999923,5.0,10.030571200011764,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,25R,The government should interfere during conversion from one religion to another.,,,,,,,,,,,,,,,,,0,24,24,24,754.8509948000137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.8239663999993,754.8509948000137,754.8509948000137,762.9680936000077,5.0,8.1179034000088,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,26R,The government should spend less on the military and more on education and the environment.,,,,,,,,,,,,,,,,,0,25,25,25,762.9950780000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.9684428000182,762.9950780000072,762.9950780000072,770.1632147000055,1.0,7.169135800009826,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,27R,India should not trade with or help any nation that violates human rights.,,,,,,,,,,,,,,,,,0,26,26,26,770.1891599000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.1635078999971,770.1891599000082,770.1891599000082,776.9437052000139,3.0,6.7555876999977045,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,28,People planning to get married should have a mandatory test for STDs such as AIDS and gonorrhea before a marriage certificate can be issued. ,,,,,,,,,,,,,,,,,0,27,27,27,776.9728794000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.9439536000136,776.9728794000112,776.9728794000112,793.5412382000068,3.0,16.569812500005355,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,29,"There are too many lawsuits in the courts, and the courts do not have the time to deal with more severe issues. ",,,,,,,,,,,,,,,,,0,28,28,28,793.566101400007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.541515000019,793.566101400007,793.566101400007,815.8399166000017,5.0,22.274438500026008,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,30R,Nuclear power and nuclear-generating stations should be banned. ,,,,,,,,,,,,,,,,,0,29,29,29,815.8680080000195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.8401858000143,815.8680080000195,815.8680080000195,823.7442029000085,3.0,7.87732070000493,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,31R,The death penalty is clearly a form of cruel and unusual punishment and should be banned. ,,,,,,,,,,,,,,,,,0,30,30,30,823.7699141000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.7444744000095,823.7699141000048,823.7699141000048,832.6192188000132,5.0,8.850849699985702,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,32R,Sexual harassment of women in the workplace is a serious problem and should be prosecuted under law,,,,,,,,,,,,,,,,,0,31,31,31,832.6446102000191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.6194790000154,832.6446102000191,832.6446102000191,833.1036545000097,5.0,0.4597009999852162,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,33R,"The primary function of prisons should be to rehabilitate criminals, not to punish them. ",,,,,,,,,,,,,,,,,0,32,32,32,833.1278018000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833.1039236999932,833.1278018000012,833.1278018000012,845.2792538999929,2.0,12.15156470000511,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,34R,The states should abolish criminal penalties for victimless crimes such as gambling and prostitution. ,,,,,,,,,,,,,,,,,0,33,33,33,845.3041589000204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.2795339000004,845.3041589000204,845.3041589000204,857.7735482999997,4.0,12.469706500007305,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,35,The CBI should be able to wiretap the phones and read the mail of suspected individuals.,,,,,,,,,,,,,,,,,0,34,34,34,857.7995515000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857.7738095000095,857.7995515000075,857.7995515000075,870.1189486999938,2.0,12.320778199995402,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,36R,"The central government must take strong steps to reverse global warming, even if it means losing some jobs. ",,,,,,,,,,,,,,,,,0,35,35,35,870.1503983000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.1193952000176,870.1503983000002,870.1503983000002,879.0833622000064,3.0,8.933713100006571,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,37,Most youth who fall under the reservation scheme today are lazy and do not want to work.,,,,,,,,,,,,,,,,,0,36,36,36,879.1090766999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.0836304000113,879.1090766999987,879.1090766999987,888.835425199999,3.0,9.727396400005091,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,38,Profanity and sexually oriented material on television should be stopped or penalized by the government. ,,,,,,,,,,,,,,,,,0,37,37,37,888.8628005000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.8356977000076,888.8628005000064,888.8628005000064,898.6953619999986,4.0,9.834533800021745,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,39,"The government must stop the flow of immigrants, both legal and illegal, from Bangladesh.",,,,,,,,,,,,,,,,,0,38,38,38,898.7209425000183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.6956370999978,898.7209425000183,898.7209425000183,908.7015045000007,3.0,9.979781000001822,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,40R,There should be sensitization classes for individuals in the LGBTQ+ community in school.,,,,,,,,,,,,,,,,,0,39,39,39,908.7302249000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908.7017652000068,908.7302249000059,908.7302249000059,915.0495536999952,3.0,6.320819499989739,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.0497393000114,915.0556735999999,925.0541955000081,925.0392874999961,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
