dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
10r,"It would not upset me at all to watch a person with a glass eye take the eye 
out of the socket.  ",,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,76.8392012,,,,,,,,,,,,,,,,76.817874,76.8392012,76.8392012,76.8392012,90.3487369,0,13.5075703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
11,It would bother me to see a rat run across my path in a park. ,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,90.3690457,,,,,,,,,,,,,,,,90.3489551,90.3690457,90.3690457,90.3690457,95.4985276,0,5.1275834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
12d,I would rather eat a piece of fruit than a piece of paper ,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,95.5186027,,,,,,,,,,,,,,,,95.4987568,95.5186027,95.5186027,95.5186027,102.4477197,4,6.927114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
13,"Even if I was hungry, I would not drink a bowl of my favorite soup if it had been
stirred by a used but thoroughly washed flyswatter. ",,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,102.4713958,,,,,,,,,,,,,,,,102.4479392,102.4713958,102.4713958,102.4713958,119.8784366,0,17.4054444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
14,"It would bother me to sleep in a nice hotel room if I knew that a man had died of a
heart attack in that room the night before. ",,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,119.8997687,,,,,,,,,,,,,,,,119.8786553,119.8997687,119.8997687,119.8997687,131.393481,0,11.4916344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,15,You see maggots on a piece of meat in an outdoor garbage pail. ,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,131.4198718,,,,,,,,,,,,,,,,,,,,,,,131.3982377,131.4198718,131.4198718,131.4198718,145.4586815,3,14.0387528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,16d,You see a person eating an apple with a knife and fork,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,145.4789669,,,,,,,,,,,,,,,,,,,,,,,145.4589736,145.4789669,145.4789669,145.4789669,150.4078857,0,4.9268062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,17,"While you are walking through a tunnel under a railroad track, you smell urine. ",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,150.4301919,,,,,,,,,,,,,,,,,,,,,,,150.4081021,150.4301919,150.4301919,150.4301919,159.7240716,3,9.29146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,18,"You take a sip of soda, and then realize that you drank from the glass that an
 		acquaintance of yours had been drinking from",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,159.7491138,,,,,,,,,,,,,,,,,,,,,,,159.7243931,159.7491138,159.7491138,159.7491138,164.8394326,0,5.0889899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,19,"Your friend's pet cat dies, and you have to pick up the dead body with your bare hands.  ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,164.8602885,,,,,,,,,,,,,,,,,,,,,,,164.8396459,164.8602885,164.8602885,164.8602885,169.555554,1,4.6942882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
