dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,images/1171_injuries_infections.png,,,,,,,,,,,,,,,0,6,6,4,,,,,384.6471621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.5281126,384.6471621,385.5433368,385.6595339,392.5411998,,393.4603791,3.003703704,8.8035578,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,images/1110_body products.png,,,,,,,,,,,,,,,0,7,7,2,,,,,393.5786028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.4605894,393.5786028,394.4757495,394.5916925,401.47334,,402.2925291,1.97037037,8.7039681,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,images/1182_injuries_infections.png,,,,,,,,,,,,,,,0,8,8,5,,,,,402.4163408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.2927372,402.4163408,403.3077905,403.4238025,410.3054006,,411.1081435,1.02962963,8.681896,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.1082821,411.1224762,411.1224762,425.4719399,1,[14.362901399988914],[14.362907000002451],,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,1R,The government should pass a Constitutional amendment that would make it illegal to discriminate against anyone in any situation based on sexual orientation.,,,,,,,,,,,,,,,,,1,0,0,0,425.5062546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.4785841,425.5062546,425.5062546,425.592775,3,0.0909728,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,2R,"The national government should establish a centrally funded medical program so that all persons, regardless of means, have access to medical care.",,,,,,,,,,,,,,,,,0,1,1,1,425.6140115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.5930683,425.6140115,425.6140115,439.5374191,1,13.9206466,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,3,It should be legal and constitutional to say a prayer at the beginning of assemblies in public schools.,,,,,,,,,,,,,,,,,0,2,2,2,439.5575664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.5376368,439.5575664,439.5575664,445.9035318,5,6.3431495,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,4R,Persons should be allowed to join and serve in the military regardless of their sexual preference as long as their behavior meets strict military standards.,,,,,,,,,,,,,,,,,0,3,3,3,445.924698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.9037491,445.924698,445.924698,448.8698412,5,2.9424742,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,5R,A person should be able to use and grow small quantities of marijuana in the privacy of his or her own home with no legal consequences.,,,,,,,,,,,,,,,,,0,4,4,4,448.8908282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.8700551,448.8908282,448.8908282,463.7512571,1,14.8580902,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,6,"Persons receiving the death penalty should be limited in their number of appeals, and the death sentence should be carried out in a shorter time period than it is now.",,,,,,,,,,,,,,,,,0,5,5,5,463.7728915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.7514723,463.7728915,463.7728915,472.183396,2,8.4080659,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,7,The government should reverse its decision on abortion and make it more challenging to have an abortion except in special cases such as rape and incest. ,,,,,,,,,,,,,,,,,0,6,6,6,472.2045904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.1836208,472.2045904,472.2045904,479.6159188,5,7.4081277,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,8,India should require one year of military service for all able-bodied people.,,,,,,,,,,,,,,,,,0,7,7,7,479.6358545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.6161695,479.6358545,479.6358545,494.4141453,5,14.7751707,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,9,"Parents should be able to send their children to any school they choose, and tax money should be used to support the schools that parents choose.",,,,,,,,,,,,,,,,,0,8,8,8,494.4350564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.4143659,494.4350564,494.4350564,499.56326,1,5.1254839,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,10,Police should be able to confiscate any materials that are deemed to be obscene or pornographic. ,,,,,,,,,,,,,,,,,0,9,9,9,499.583373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.5634765,499.583373,499.583373,505.5791434,2,5.9932276,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,11,The central government should be required to have a balanced budget that does not spend more than the money that comes in from taxes,,,,,,,,,,,,,,,,,0,10,10,10,505.6001703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.5793608,505.6001703,505.6001703,515.8446115,2,10.2414103,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,12R, Laws that limit the sale of fireworks and other explosive materials that are not intended for legitimate cultural or religious purposes should be passed.,,,,,,,,,,,,,,,,,0,11,11,11,515.8681291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.8448319,515.8681291,515.8681291,532.0425479,5,16.1718862,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,13R,Sex education should be in taught all public schools and all students should be required to take the class unless exempted by parents. ,,,,,,,,,,,,,,,,,0,12,12,12,532.0640034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0427744,532.0640034,532.0640034,537.6083954,1,5.5419357,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,14,Reservation system should be abolished in India. ,,,,,,,,,,,,,,,,,0,13,13,13,537.6293367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.6086221,537.6293367,537.6293367,540.5247774,1,2.8930098,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,15,"The Prime Minister, without permission from the President, should be able to use the armed forces and call for an emergency in possible combat areas for as long as he/she deems necessary. ",,,,,,,,,,,,,,,,,0,14,14,14,540.5479261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.5249993,540.5479261,540.5479261,546.3740977,5,5.8237089,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,16R,"Laws should be passed to make it legal for public employees such as police, firemen, teachers, and garbage collectors to go on strike. ",,,,,,,,,,,,,,,,,0,15,15,15,546.3955534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.3743207,546.3955534,546.3955534,556.4892973,1,10.0913851,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,17,Public schools should be required to teach the world's creation as written in the Bhagavad Gita in all classes that teach evolution theory.,,,,,,,,,,,,,,,,,0,16,16,16,556.5128911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.4895167,556.5128911,556.5128911,571.270884,5,14.7556018,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,18,"The government should mandate family planning counseling and reversible sterilization for low-income, unmarried women with three or more children. ",,,,,,,,,,,,,,,,,0,17,17,17,571.2922649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.2711096,571.2922649,571.2922649,579.486273,1,8.1918505,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,19R,"Birth control information, non-prescription contraceptive devices, and the morning-after pill should be made available on college campuses.",,,,,,,,,,,,,,,,,0,18,18,18,579.5079946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.4864919,579.5079946,579.5079946,584.1359616,1,4.6254812,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,20,"Evidence gathered by the police, even if an honest mistake was made in getting a warrant, should be used to help prosecute suspected criminals. ",,,,,,,,,,,,,,,,,0,19,19,19,584.1576943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.1362077,584.1576943,584.1576943,603.3166089,4,19.1568683,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,21,Inter-religious marriages should be abolished.,,,,,,,,,,,,,,,,,0,20,20,20,603.3361587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.3168267,603.3361587,603.3361587,611.3821692,5,8.0437994,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,22R,"Requirements for any military duty, including combat, should be based on physical, emotional, and intellectual abilities, not gender or sexual orientation.",,,,,,,,,,,,,,,,,0,21,21,21,611.4036612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.3823876,611.4036612,611.4036612,621.4143897,1,10.0083979,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,23R,The law should make private employers hire minorities if they are qualified because they have been victims of discrimination in the past. ,,,,,,,,,,,,,,,,,0,22,22,22,621.4355415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.4146128,621.4355415,621.4355415,643.0282388,2,21.5900513,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,24,Certain literature should be banned from city libraries if the librarian feels it is improper or too controversial.,,,,,,,,,,,,,,,,,0,23,23,23,643.0490157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.0284651,643.0490157,643.0490157,650.6607948,5,7.6090592,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,25R,The government should interfere during conversion from one religion to another.,,,,,,,,,,,,,,,,,0,24,24,24,650.6813984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.6610132,650.6813984,650.6813984,654.793524,5,4.109976,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,26R,The government should spend less on the military and more on education and the environment.,,,,,,,,,,,,,,,,,0,25,25,25,654.8139855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.7938664,654.8139855,654.8139855,662.259265,1,7.4425576,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,27R,India should not trade with or help any nation that violates human rights.,,,,,,,,,,,,,,,,,0,26,26,26,662.2793158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.2594919,662.2793158,662.2793158,666.7085669,1,4.426888,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,28,People planning to get married should have a mandatory test for STDs such as AIDS and gonorrhea before a marriage certificate can be issued. ,,,,,,,,,,,,,,,,,0,27,27,27,666.732097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.7087824,666.732097,666.732097,682.8233784,1,16.0893582,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,29,"There are too many lawsuits in the courts, and the courts do not have the time to deal with more severe issues. ",,,,,,,,,,,,,,,,,0,28,28,28,682.8441976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.8236449,682.8441976,682.8441976,687.5722931,1,4.7257898,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,30R,Nuclear power and nuclear-generating stations should be banned. ,,,,,,,,,,,,,,,,,0,29,29,29,687.5942244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.572531,687.5942244,687.5942244,690.8223696,1,3.2259017,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,31R,The death penalty is clearly a form of cruel and unusual punishment and should be banned. ,,,,,,,,,,,,,,,,,0,30,30,30,690.8417877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.8226026,690.8417877,690.8417877,694.9384342,5,4.0942281,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,32R,Sexual harassment of women in the workplace is a serious problem and should be prosecuted under law,,,,,,,,,,,,,,,,,0,31,31,31,694.9588866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.9386523,694.9588866,694.9588866,700.6875707,1,5.7257141,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,33R,"The primary function of prisons should be to rehabilitate criminals, not to punish them. ",,,,,,,,,,,,,,,,,0,32,32,32,700.707655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.6878417,700.707655,700.707655,703.7869219,1,3.0768319,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,34R,The states should abolish criminal penalties for victimless crimes such as gambling and prostitution. ,,,,,,,,,,,,,,,,,0,33,33,33,703.8074204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703.787252,703.8074204,703.8074204,713.8525909,1,10.0425077,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,35,The CBI should be able to wiretap the phones and read the mail of suspected individuals.,,,,,,,,,,,,,,,,,0,34,34,34,713.8738723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.8528081,713.8738723,713.8738723,717.4187565,5,3.5425698,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,36R,"The central government must take strong steps to reverse global warming, even if it means losing some jobs. ",,,,,,,,,,,,,,,,,0,35,35,35,717.4394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.4189994,717.4394,717.4394,762.0795461,1,44.6378765,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,37,Most youth who fall under the reservation scheme today are lazy and do not want to work.,,,,,,,,,,,,,,,,,0,36,36,36,762.0999548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.079767,762.0999548,762.0999548,772.1450479,1,10.0424614,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,38,Profanity and sexually oriented material on television should be stopped or penalized by the government. ,,,,,,,,,,,,,,,,,0,37,37,37,772.1657185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.1452657,772.1657185,772.1657185,780.3938772,1,8.2255837,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,39,"The government must stop the flow of immigrants, both legal and illegal, from Bangladesh.",,,,,,,,,,,,,,,,,0,38,38,38,780.4140091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.3940971,780.4140091,780.4140091,786.0932156,3,5.6763925,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,40R,There should be sensitization classes for individuals in the LGBTQ+ community in school.,,,,,,,,,,,,,,,,,0,39,39,39,786.1146751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786.0934368,786.1146751,786.1146751,788.8929257,1,2.7752938,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788.8930798,788.9073699,798.9063349,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
