dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,3,It should be legal and constitutional to say a prayer at the beginning of assemblies in public schools.,,,,,,,,,,,,,,,,,0,2,2,2,475.9365969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.910741,475.9365969,475.9365969,480.6743755,5,4.7373597,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,4R,Persons should be allowed to join and serve in the military regardless of their sexual preference as long as their behavior meets strict military standards.,,,,,,,,,,,,,,,,,0,3,3,3,480.7016225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.6746619,480.7016225,480.7016225,488.4103479,1,7.7083166,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,5R,A person should be able to use and grow small quantities of marijuana in the privacy of his or her own home with no legal consequences.,,,,,,,,,,,,,,,,,0,4,4,4,488.4393284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.4106383,488.4393284,488.4393284,498.8226699,1,10.3852265,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,6,"Persons receiving the death penalty should be limited in their number of appeals, and the death sentence should be carried out in a shorter time period than it is now.",,,,,,,,,,,,,,,,,0,5,5,5,498.8508632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.8229695,498.8508632,498.8508632,508.8750872,2,10.0241105,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,7,The government should reverse its decision on abortion and make it more challenging to have an abortion except in special cases such as rape and incest. ,,,,,,,,,,,,,,,,,0,6,6,6,508.9025235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.8753666,508.9025235,508.9025235,517.2562265,5,8.3539395,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,8,India should require one year of military service for all able-bodied people.,,,,,,,,,,,,,,,,,0,7,7,7,517.2821542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.2565092,517.2821542,517.2821542,521.752297,4,4.4708038,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,9,"Parents should be able to send their children to any school they choose, and tax money should be used to support the schools that parents choose.",,,,,,,,,,,,,,,,,0,8,8,8,521.7798575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.752564,521.7798575,521.7798575,544.3683154,5,22.5889882,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,10,Police should be able to confiscate any materials that are deemed to be obscene or pornographic. ,,,,,,,,,,,,,,,,,0,9,9,9,544.397839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.3686403,544.397839,544.397839,558.2816868,5,13.8851266,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,11,The central government should be required to have a balanced budget that does not spend more than the money that comes in from taxes,,,,,,,,,,,,,,,,,0,10,10,10,558.3090145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.2819805,558.3090145,558.3090145,634.2224279,1,75.9138595,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,12R, Laws that limit the sale of fireworks and other explosive materials that are not intended for legitimate cultural or religious purposes should be passed.,,,,,,,,,,,,,,,,,0,11,11,11,634.2525281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.2227237,634.2525281,634.2525281,638.738338,1,4.4862166,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,13R,Sex education should be in taught all public schools and all students should be required to take the class unless exempted by parents. ,,,,,,,,,,,,,,,,,0,12,12,12,638.7649271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.7386272,638.7649271,638.7649271,643.5807835,1,4.8128905,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,14,Reservation system should be abolished in India. ,,,,,,,,,,,,,,,,,0,13,13,13,643.6073445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.581082,643.6073445,643.6073445,648.7076863,2,5.1006055,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,15,"The Prime Minister, without permission from the President, should be able to use the armed forces and call for an emergency in possible combat areas for as long as he/she deems necessary. ",,,,,,,,,,,,,,,,,0,14,14,14,648.7366021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.7079678,648.7366021,648.7366021,657.3092808,5,8.5720795,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,16R,"Laws should be passed to make it legal for public employees such as police, firemen, teachers, and garbage collectors to go on strike. ",,,,,,,,,,,,,,,,,0,15,15,15,657.3360113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.3095698,657.3360113,657.3360113,668.2223907,3,10.8875321,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,17,Public schools should be required to teach the world's creation as written in the Bhagavad Gita in all classes that teach evolution theory.,,,,,,,,,,,,,,,,,0,16,16,16,668.252068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.2226875,668.252068,668.252068,679.5001346,5,11.2481045,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,18,"The government should mandate family planning counseling and reversible sterilization for low-income, unmarried women with three or more children. ",,,,,,,,,,,,,,,,,0,17,17,17,679.5267244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.5004103,679.5267244,679.5267244,738.3871294,1,58.8612906,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,19R,"Birth control information, non-prescription contraceptive devices, and the morning-after pill should be made available on college campuses.",,,,,,,,,,,,,,,,,0,18,18,18,738.4145957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.3874124,738.4145957,738.4145957,741.0219079,1,2.6077743,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,20,"Evidence gathered by the police, even if an honest mistake was made in getting a warrant, should be used to help prosecute suspected criminals. ",,,,,,,,,,,,,,,,,0,19,19,19,741.0480676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.0222009,741.0480676,741.0480676,743.5763927,1,2.5286898,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,21,Inter-religious marriages should be abolished.,,,,,,,,,,,,,,,,,0,20,20,20,743.5994482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.5766737,743.5994482,743.5994482,747.626286,5,4.0268218,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,22R,"Requirements for any military duty, including combat, should be based on physical, emotional, and intellectual abilities, not gender or sexual orientation.",,,,,,,,,,,,,,,,,0,21,21,21,747.6527334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.6265862,747.6527334,747.6527334,749.8276673,5,2.1747646,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,23R,The law should make private employers hire minorities if they are qualified because they have been victims of discrimination in the past. ,,,,,,,,,,,,,,,,,0,22,22,22,749.8537381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.8279576,749.8537381,749.8537381,753.476162,5,3.6216392,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,24,Certain literature should be banned from city libraries if the librarian feels it is improper or too controversial.,,,,,,,,,,,,,,,,,0,23,23,23,753.5022742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.4764279,753.5022742,753.5022742,759.5300153,1,6.0280994,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,25R,The government should interfere during conversion from one religion to another.,,,,,,,,,,,,,,,,,0,24,24,24,759.5549353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.5302926,759.5549353,759.5549353,762.9903312,1,3.4356381,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,26R,The government should spend less on the military and more on education and the environment.,,,,,,,,,,,,,,,,,0,25,25,25,763.0149973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.9906326,763.0149973,763.0149973,763.8356583,1,0.8202435,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,27R,India should not trade with or help any nation that violates human rights.,,,,,,,,,,,,,,,,,0,26,26,26,763.8598827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.8359418,763.8598827,763.8598827,768.0171875,1,4.1574215,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,28,People planning to get married should have a mandatory test for STDs such as AIDS and gonorrhea before a marriage certificate can be issued. ,,,,,,,,,,,,,,,,,0,27,27,27,768.0461059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.0174625,768.0461059,768.0461059,768.9665744,1,0.9218126,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,29,"There are too many lawsuits in the courts, and the courts do not have the time to deal with more severe issues. ",,,,,,,,,,,,,,,,,0,28,28,28,768.9906775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.9668426,768.9906775,768.9906775,769.7172263,1,0.7263281,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,30R,Nuclear power and nuclear-generating stations should be banned. ,,,,,,,,,,,,,,,,,0,29,29,29,769.7427314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.7174962,769.7427314,769.7427314,770.2374133,1,0.491774,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,31R,The death penalty is clearly a form of cruel and unusual punishment and should be banned. ,,,,,,,,,,,,,,,,,0,30,30,30,770.2617672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.2376765,770.2617672,770.2617672,772.1661275,1,1.9050238,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,32R,Sexual harassment of women in the workplace is a serious problem and should be prosecuted under law,,,,,,,,,,,,,,,,,0,31,31,31,772.1904833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.1663881,772.1904833,772.1904833,773.3400394,1,1.1493474,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,33R,"The primary function of prisons should be to rehabilitate criminals, not to punish them. ",,,,,,,,,,,,,,,,,0,32,32,32,773.3649085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.3403264,773.3649085,773.3649085,781.4913423,4,8.1258304,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,34R,The states should abolish criminal penalties for victimless crimes such as gambling and prostitution. ,,,,,,,,,,,,,,,,,0,33,33,33,781.5174959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.4916808,781.5174959,781.5174959,783.1862192,4,1.6697198,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,35,The CBI should be able to wiretap the phones and read the mail of suspected individuals.,,,,,,,,,,,,,,,,,0,34,34,34,783.2112056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.1865017,783.2112056,783.2112056,784.1520776,4,0.9407761,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,36R,"The central government must take strong steps to reverse global warming, even if it means losing some jobs. ",,,,,,,,,,,,,,,,,0,35,35,35,784.1772587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.1523374,784.1772587,784.1772587,787.7696193,1,3.5926764,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,37,Most youth who fall under the reservation scheme today are lazy and do not want to work.,,,,,,,,,,,,,,,,,0,36,36,36,787.7941615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787.7699055,787.7941615,787.7941615,788.7931065,1,0.9992579,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,38,Profanity and sexually oriented material on television should be stopped or penalized by the government. ,,,,,,,,,,,,,,,,,0,37,37,37,788.818479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788.7933928,788.818479,788.818479,789.4382617,1,0.6193656,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,39,"The government must stop the flow of immigrants, both legal and illegal, from Bangladesh.",,,,,,,,,,,,,,,,,0,38,38,38,789.4632747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789.4385346,789.4632747,789.4632747,791.1284696,1,1.6656223,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,40R,There should be sensitization classes for individuals in the LGBTQ+ community in school.,,,,,,,,,,,,,,,,,0,39,39,39,791.1554626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.1287312,791.1554626,791.1554626,795.3470822,5,4.1922285,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.347258,795.3601529,805.3593392,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
