dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,I probably would not go to my favorite restaurant if I found out that the cook had a cold. ,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,84.49920929997461,,,,,,,,,,,,,,,,84.48048959998414,84.49920929997461,84.49920929997461,84.49920929997461,89.9295407999889,1.0,5.426754600019194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
10r,"It would not upset me at all to watch a person with a glass eye take the eye 
out of the socket.  ",,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,89.94905339999241,,,,,,,,,,,,,,,,89.9297583999869,89.94905339999241,89.94905339999241,89.94905339999241,96.47882369998842,4.0,6.5258267000026535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
11,It would bother me to see a rat run across my path in a park. ,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,96.49708269999246,,,,,,,,,,,,,,,,96.47904169998947,96.49708269999246,96.49708269999246,96.49708269999246,100.5949134999828,0.0,4.094066599995131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
12d,I would rather eat a piece of fruit than a piece of paper ,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,100.61328549997415,,,,,,,,,,,,,,,,100.59513089997927,100.61328549997415,100.61328549997415,100.61328549997415,108.04386809997959,4.0,7.427462999999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
13,"Even if I was hungry, I would not drink a bowl of my favorite soup if it had been
stirred by a used but thoroughly washed flyswatter. ",,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,108.06475389999105,,,,,,,,,,,,,,,,108.04408769999282,108.06475389999105,108.06475389999105,108.06475389999105,115.95953819999704,1.0,7.891341499984264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
14,"It would bother me to sleep in a nice hotel room if I knew that a man had died of a
heart attack in that room the night before. ",,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,115.9791375999921,,,,,,,,,,,,,,,,115.95975669997279,115.9791375999921,115.9791375999921,115.9791375999921,123.02540029998636,1.0,7.042400400008773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,15,You see maggots on a piece of meat in an outdoor garbage pail. ,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,123.05009569998947,,,,,,,,,,,,,,,,,,,,,,,123.02978729997994,123.05009569998947,123.05009569998947,123.05009569998947,128.12486039998475,4.0,5.07350860000588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,16d,You see a person eating an apple with a knife and fork,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,128.14310249997652,,,,,,,,,,,,,,,,,,,,,,,128.12515359997633,128.14310249997652,128.14310249997652,128.14310249997652,134.1740187999967,0.0,6.027289599995129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,17,"While you are walking through a tunnel under a railroad track, you smell urine. ",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,134.19366679998348,,,,,,,,,,,,,,,,,,,,,,,134.17428119998658,134.19366679998348,134.19366679998348,134.19366679998348,142.4227861999825,3.0,8.225361899996642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,18,"You take a sip of soda, and then realize that you drank from the glass that an
 		acquaintance of yours had been drinking from",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,142.4446420999884,,,,,,,,,,,,,,,,,,,,,,,142.42302239997662,142.4446420999884,142.4446420999884,142.4446420999884,150.43850389998988,1.0,7.990288100001635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
